Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,REGION
5.1,3.5,1.4,0.2,setosa,EUROPE
5.1,,1.5,0.4,setosa,EUROPE
4.6,3.6,1,0.2,setosa,EUROPE
5.1,3.3,,0.5,setosa,EUROPE
4.8,3.4,1.9,0.2,setosa,EUROPE
5,3,1.6,0.2,setosa,EUROPE
5,3.4,1.6,0.4,setosa,EUROPE
5.2,,1.5,0.2,setosa,EUROPE
5.2,3.4,1.4,0.2,setosa,EUROPE
4.8,3.1,1.6,0.2,setosa,EUROPE
5.4,3.4,1.5,0.4,setosa,ASIA
5,,1.4,0.2,setosa,ASIA
7,3.2,4.7,1.4,versicolor,ASIA
6.4,3.2,4.5,1.5,versicolor,ASIA
6.9,3.1,4.9,1.5,versicolor,ASIA
5.5,2.3,4,1.3,versicolor,ASIA
6.5,2.8,4.6,1.5,versicolor,ASIA
5.7,2.8,4.5,1.3,versicolor,AFRICA
7.7,2.6,6.9,,virginica,AFRICA
7.9,3.8,6.4,2,virginica,AFRICA
6.4,2.8,5.6,2.2,virginica,AFRICA
6.2,,5.4,2.3,virginica,AFRICA
5.9,3,5.1,1.8,virginica,AFRICA
1.4,2.5,3.6,4.7,amapola,AMERICA
2.9,7.1,8.6,9.8,amapola,AMERICA
